,reward
0,-1153.0
1,-1957.0
2,-1349.0
3,-1243.0
4,-1955.0
5,-1387.0
6,-400.0
7,-303.0
8,-1486.0
9,-2476.0
10,-1585.0
11,-109.0
12,-1543.0
13,-1351.0
14,-2377.0
15,-1882.0
16,-927.0
17,-1227.0
18,-1144.0
19,-413.0
20,-1251.0
21,-309.0
22,-1981.0
23,-434.0
24,-1277.0
25,-929.0
26,-311.0
27,-717.0
28,-2179.0
29,-3268.0
30,-211.0
31,-414.0
32,-2462.0
33,-324.0
34,-1684.0
35,-300.0
36,-513.0
37,-925.0
38,-822.0
39,-1743.0
40,-1229.0
41,-1343.0
42,-515.0
43,-931.0
44,-2377.0
45,-750.0
46,-739.0
47,-939.0
48,-210.0
49,-729.0
50,-1041.0
51,-519.0
52,-1783.0
53,-725.0
54,-532.0
55,-724.0
56,-1851.0
57,-2080.0
58,-1637.0
59,-813.0
60,-1140.0
61,-1758.0
62,-2080.0
63,-311.0
64,-1585.0
65,-2476.0
66,-718.0
67,-223.0
68,-415.0
69,-1863.0
70,-1756.0
71,-1447.0
72,-1021.0
73,-1741.0
74,-1047.0
75,-2036.0
76,-1870.0
77,-1033.0
78,-505.0
79,-202.0
80,-828.0
81,-1129.0
82,-929.0
83,-407.0
84,-724.0
85,-1120.0
86,-1486.0
87,-414.0
88,-1526.0
89,-1.0
90,-1655.0
91,-736.0
92,-308.0
93,-1335.0
94,-350.0
95,-412.0
96,-203.0
97,-620.0
98,-402.0
99,-722.0
100,-1882.0
101,-306.0
102,-213.0
103,-408.0
104,-412.0
105,-507.0
106,-1739.0
107,-316.0
108,-318.0
109,-636.0
110,-631.0
111,-411.0
112,-207.0
113,-723.0
114,-719.0
115,-892.0
116,-299.0
117,-515.0
118,-197.0
119,-305.0
120,-618.0
121,-303.0
122,-814.0
123,-1767.0
124,-206.0
125,-530.0
126,-100.0
127,-1056.0
128,-2575.0
129,-605.0
130,-500.0
131,-201.0
132,-1220.0
133,-1981.0
134,-1030.0
135,-109.0
136,-641.0
137,-532.0
138,-211.0
139,-2179.0
140,-1585.0
141,-2575.0
142,-948.0
143,-608.0
144,-1330.0
145,-105.0
146,-607.0
147,-1981.0
148,-737.0
149,-716.0
150,-119.0
151,-321.0
152,-922.0
153,-731.0
154,-523.0
155,-299.0
156,-1004.0
157,-98.0
158,-416.0
159,-624.0
160,-715.0
161,-21.0
162,-418.0
163,-1356.0
164,-1018.0
165,-519.0
166,-1034.0
167,-1136.0
168,-421.0
169,-707.0
170,-217.0
171,-116.0
172,-306.0
173,-920.0
174,-203.0
175,-1189.0
176,-718.0
177,-802.0
178,-566.0
179,-1247.0
180,-519.0
181,-322.0
182,-9.0
183,-200.0
184,-506.0
185,-622.0
186,-111.0
187,-605.0
188,-112.0
189,-112.0
190,-506.0
191,-3.0
192,-300.0
193,-410.0
194,-627.0
195,-1749.0
196,-104.0
197,-629.0
198,-716.0
199,-638.0
200,-306.0
201,-618.0
202,-419.0
203,-1038.0
204,-436.0
205,-215.0
206,-108.0
207,-3.0
208,-112.0
209,-520.0
210,-920.0
211,-204.0
212,-612.0
213,-203.0
214,-510.0
215,-532.0
216,-214.0
217,-421.0
218,-551.0
219,-415.0
220,-1460.0
221,-1236.0
222,-304.0
223,-217.0
224,-617.0
225,-413.0
226,-314.0
227,-414.0
228,-104.0
229,-522.0
230,-6.0
231,-200.0
232,-524.0
233,-628.0
234,-1554.0
235,-200.0
236,-3.0
237,-114.0
238,-201.0
239,-106.0
240,-218.0
241,-1342.0
242,-104.0
243,-1036.0
244,-203.0
