,reward
0,-35.0
1,-27.0
2,-37.0
3,-100.0
4,-3.0
5,-100.0
6,-29.0
7,-57.0
8,-17.0
9,-100.0
10,-17.0
11,-39.0
12,-67.0
13,-47.0
14,-11.0
15,-45.0
16,-51.0
17,-100.0
18,-19.0
19,-35.0
20,-100.0
21,-100.0
22,-61.0
23,-41.0
24,-7.0
25,-19.0
26,-25.0
27,-100.0
28,-27.0
29,-1.0
30,-59.0
31,-37.0
32,-100.0
33,-29.0
34,-100.0
35,-53.0
36,-45.0
37,-100.0
38,-45.0
39,-100.0
40,-19.0
41,-100.0
42,-21.0
43,1.0
44,-25.0
45,-5.0
46,-47.0
47,-100.0
48,-17.0
49,-41.0
50,-100.0
51,-57.0
52,-73.0
53,-27.0
54,-100.0
55,-11.0
56,-100.0
57,-100.0
58,-100.0
59,-100.0
60,-53.0
61,-17.0
62,-81.0
63,3.0
64,-9.0
65,-100.0
66,-73.0
67,-11.0
68,-43.0
69,-5.0
70,-7.0
71,-100.0
72,-35.0
73,-51.0
74,-61.0
75,-61.0
76,-39.0
77,-11.0
78,-83.0
79,-33.0
80,-17.0
81,-81.0
82,-71.0
83,-5.0
84,-7.0
85,-41.0
86,-53.0
87,-9.0
88,-100.0
89,-100.0
90,-51.0
91,-27.0
92,-57.0
93,-3.0
94,-15.0
95,-11.0
96,-49.0
97,-100.0
98,-3.0
99,1.0
100,-49.0
101,-5.0
102,-100.0
103,-1.0
104,-13.0
105,-9.0
106,-17.0
107,1.0
108,-5.0
109,-43.0
110,-100.0
111,-25.0
112,-9.0
113,-19.0
114,-1.0
115,-67.0
116,-100.0
117,-27.0
118,-9.0
119,-71.0
120,-49.0
121,-47.0
122,-49.0
123,-83.0
124,-100.0
125,-25.0
126,-87.0
127,-13.0
128,-39.0
129,-7.0
130,-33.0
131,-37.0
132,-75.0
133,-21.0
134,-1.0
135,-5.0
136,-71.0
137,-45.0
138,-13.0
139,-57.0
140,-47.0
141,-3.0
142,1.0
143,-69.0
144,-100.0
145,-85.0
146,-65.0
147,-11.0
148,-15.0
149,-19.0
150,-19.0
151,-100.0
152,-35.0
153,-21.0
154,-100.0
155,-27.0
156,-79.0
157,-3.0
158,-23.0
159,-61.0
160,-33.0
161,-1.0
162,1.0
163,-47.0
164,-1.0
165,-15.0
166,-31.0
167,-1.0
168,-13.0
169,-47.0
170,-3.0
171,-3.0
172,-3.0
173,-29.0
174,-55.0
175,-11.0
176,-3.0
177,-71.0
178,-25.0
179,-25.0
180,1.0
181,-100.0
182,-33.0
183,3.0
184,-31.0
185,-33.0
186,-5.0
187,-69.0
188,-25.0
189,-7.0
190,-23.0
191,-27.0
192,3.0
193,-25.0
194,-21.0
195,-13.0
196,-31.0
197,-29.0
198,-55.0
199,-25.0
200,-11.0
201,-23.0
202,-19.0
203,-11.0
204,1.0
205,-25.0
206,-7.0
207,-17.0
208,-19.0
209,-1.0
210,-13.0
211,-19.0
212,-5.0
213,1.0
214,-25.0
215,-57.0
216,3.0
217,-5.0
218,-13.0
219,-25.0
220,-21.0
221,-17.0
222,-37.0
223,-73.0
224,-19.0
225,-5.0
226,-100.0
227,-13.0
228,-9.0
229,-13.0
230,-37.0
231,-11.0
232,-11.0
233,-35.0
234,-49.0
235,3.0
236,-19.0
237,-25.0
238,-19.0
239,-3.0
240,-15.0
241,-23.0
242,-49.0
243,-41.0
244,-15.0
245,-29.0
246,-15.0
247,-23.0
248,-13.0
249,-39.0
250,-27.0
251,-23.0
252,-7.0
253,-5.0
254,-25.0
255,-41.0
256,-9.0
257,-17.0
258,-19.0
259,1.0
260,-7.0
261,-9.0
262,-39.0
263,-100.0
264,-11.0
265,-11.0
266,-69.0
267,-1.0
268,-25.0
269,-51.0
270,-31.0
271,-77.0
272,-17.0
273,-31.0
274,-13.0
275,-9.0
276,-17.0
277,-3.0
278,-45.0
279,-7.0
280,-27.0
281,-3.0
282,-41.0
283,-29.0
284,-39.0
285,-5.0
286,-5.0
287,3.0
288,-9.0
289,-35.0
290,-1.0
291,-11.0
292,-11.0
293,1.0
294,-5.0
295,-9.0
296,-7.0
297,-9.0
298,-13.0
299,-21.0
300,-5.0
301,-5.0
302,-21.0
303,-1.0
304,-11.0
305,-5.0
306,-1.0
307,-29.0
308,-21.0
309,-11.0
310,-3.0
311,1.0
312,-13.0
313,3.0
314,-29.0
315,-15.0
316,-53.0
317,-3.0
318,-27.0
319,1.0
320,-5.0
321,-9.0
322,-9.0
323,-17.0
324,-41.0
325,-25.0
326,-21.0
327,-7.0
328,-23.0
329,-21.0
330,-43.0
331,-3.0
332,-5.0
333,-1.0
